date,month,daily_cases,cum_cases
4/1/2020,Apr-20,26930,215391
4/2/2020,Apr-20,29717,245108
4/3/2020,Apr-20,32318,277426
4/4/2020,Apr-20,35099,312525
4/5/2020,Apr-20,25616,338141
4/6/2020,Apr-20,30916,369057
4/7/2020,Apr-20,30337,399394
4/8/2020,Apr-20,31820,431214
4/9/2020,Apr-20,34699,465913
4/10/2020,Apr-20,33473,499386
4/11/2020,Apr-20,31720,531106
4/12/2020,Apr-20,27143,558249
4/13/2020,Apr-20,25769,584018
4/14/2020,Apr-20,26691,610709
4/15/2020,Apr-20,30033,640742
4/16/2020,Apr-20,31613,672355
4/17/2020,Apr-20,31509,703864
4/18/2020,Apr-20,28398,732262
4/19/2020,Apr-20,25334,757596
4/20/2020,Apr-20,27330,784926
4/21/2020,Apr-20,25508,810434
4/22/2020,Apr-20,28832,839266
4/23/2020,Apr-20,33773,873039
4/24/2020,Apr-20,36739,909778
4/25/2020,Apr-20,34408,944186
4/26/2020,Apr-20,26735,970921
4/27/2020,Apr-20,23189,994110
4/28/2020,Apr-20,24634,1018744
4/29/2020,Apr-20,26554,1045298
4/30/2020,Apr-20,30339,1075637
5/1/2020,May-20,33964,1109601
5/2/2020,May-20,29474,1139075
5/3/2020,May-20,26140,1165215
5/4/2020,May-20,21961,1187176
5/5/2020,May-20,23705,1210881
5/6/2020,May-20,24485,1235366
5/7/2020,May-20,28475,1263841
5/8/2020,May-20,27642,1291483
5/9/2020,May-20,24868,1316351
5/10/2020,May-20,20317,1336668
5/11/2020,May-20,17618,1354286
5/12/2020,May-20,22299,1376585
5/13/2020,May-20,21141,1397726
5/14/2020,May-20,26961,1424687
5/15/2020,May-20,26223,1450910
5/16/2020,May-20,23659,1474569
5/17/2020,May-20,19014,1493583
5/18/2020,May-20,21820,1515403
5/19/2020,May-20,20968,1536371
5/20/2020,May-20,23064,1559435
5/21/2020,May-20,25733,1585168
5/22/2020,May-20,23793,1608961
5/23/2020,May-20,22268,1631229
5/24/2020,May-20,20031,1651260
5/25/2020,May-20,19100,1670360
5/26/2020,May-20,18889,1689249
5/27/2020,May-20,18741,1707990
5/28/2020,May-20,22468,1730458
5/29/2020,May-20,24547,1755005
5/30/2020,May-20,23397,1778402
5/31/2020,May-20,20634,1799036
6/1/2020,Jun-20,21894,1820930
6/2/2020,Jun-20,20786,1841716
6/3/2020,Jun-20,19979,1861695
6/4/2020,Jun-20,21614,1883309
6/5/2020,Jun-20,28697,1912006
6/6/2020,Jun-20,22516,1934522
6/7/2020,Jun-20,18616,1953138
6/8/2020,Jun-20,18201,1971339
6/9/2020,Jun-20,18804,1990143
6/10/2020,Jun-20,23155,2013298
6/11/2020,Jun-20,23202,2036500
6/12/2020,Jun-20,25493,2061993
6/13/2020,Jun-20,25334,2087327
6/14/2020,Jun-20,19130,2106457
6/15/2020,Jun-20,20117,2126574
6/16/2020,Jun-20,24885,2151459
6/17/2020,Jun-20,25655,2177114
6/18/2020,Jun-20,28059,2205173
6/19/2020,Jun-20,30836,2236009
6/20/2020,Jun-20,32025,2268034
6/21/2020,Jun-20,26379,2294413
6/22/2020,Jun-20,30466,2324879
6/23/2020,Jun-20,35058,2359937
6/24/2020,Jun-20,36989,2396926
6/25/2020,Jun-20,41173,2438099
6/26/2020,Jun-20,45526,2483625
6/27/2020,Jun-20,42304,2525929
6/28/2020,Jun-20,39078,2565007
6/29/2020,Jun-20,39917,2604924
6/30/2020,Jun-20,48395,2653319
7/1/2020,Jul-20,49977,2703296
7/2/2020,Jul-20,55555,2758851
7/3/2020,Jul-20,56523,2815374
7/4/2020,Jul-20,50640,2866014
7/5/2020,Jul-20,44766,2910780
7/6/2020,Jul-20,47315,2958095
7/7/2020,Jul-20,54157,3012252
7/8/2020,Jul-20,59459,3071711
7/9/2020,Jul-20,59899,3131610
7/10/2020,Jul-20,68227,3199837
7/11/2020,Jul-20,60728,3260565
7/12/2020,Jul-20,57807,3318372
7/13/2020,Jul-20,61571,3379943
7/14/2020,Jul-20,65601,3445544
7/15/2020,Jul-20,68348,3513892
7/16/2020,Jul-20,75697,3589589
7/17/2020,Jul-20,70923,3660512
7/18/2020,Jul-20,62454,3722966
7/19/2020,Jul-20,62275,3785241
7/20/2020,Jul-20,59883,3845124
7/21/2020,Jul-20,65274,3910398
7/22/2020,Jul-20,69730,3980128
7/23/2020,Jul-20,69998,4050126
7/24/2020,Jul-20,73525,4123651
7/25/2020,Jul-20,66771,4190422
7/26/2020,Jul-20,54212,4244634
7/27/2020,Jul-20,59179,4303813
